train_main_loss_step,step,train_recon_loss_step,train_loss_step,epoch,val_main_loss_step,val_loss_step,val_recon_loss_step,val_main_loss_epoch,val_recon_loss_epoch,val_loss_epoch,train_loss_epoch,train_recon_loss_epoch,train_main_loss_epoch
835697600.0,49,4914.5244140625,417853728.0,0,,,,,,,,,
,0,,,,834383104.0,417196768.0,5218.7451171875,,,,,,
,1,,,,832635456.0,416322944.0,5218.76806640625,,,,,,
,2,,,,803053504.0,401531968.0,5218.81689453125,,,,,,
,3,,,,794216960.0,397113696.0,5218.759765625,,,,,,
,4,,,,705296128.0,352653280.0,5218.72509765625,,,,,,
,5,,,,761557952.0,380784192.0,5218.7529296875,,,,,,
,6,,,,813989376.0,406999904.0,5218.72802734375,,,,,,
,7,,,,881196864.0,440603648.0,5218.7734375,,,,,,
,8,,,,752860224.0,376435328.0,5218.787109375,,,,,,
,9,,,,732743424.0,366376928.0,5218.81689453125,,,,,,
,10,,,,808988864.0,404499648.0,5218.75146484375,,,,,,
,11,,,,827621056.0,413815744.0,5218.755859375,,,,,,
,12,,,,784103360.0,392056896.0,5218.71923828125,,,,,,
,13,,,,859410432.0,429710432.0,5218.7431640625,,,,,,
,14,,,,768617280.0,384313856.0,5218.7666015625,,,,,,
,15,,,,855612224.0,427811328.0,5218.74462890625,,,,,,
,16,,,,814215104.0,407112768.0,5218.7568359375,,,,,,
,17,,,,818138624.0,409074528.0,5218.76416015625,,,,,,
,18,,,,853449088.0,426729760.0,5218.7646484375,,,,,,
,19,,,,950307136.0,475158784.0,5218.77294921875,,,,,,
,79,,,0,,,,812619776.0,5218.759765625,406315136.0,,,
,79,,,0,,,,,,,417114592.0,4914.93359375,834219392.0
669475264.0,99,4907.39599609375,334742528.0,1,,,,,,,,,
870260672.0,149,4887.1171875,435135232.0,1,,,,,,,,,
,20,,,,834191552.0,417100960.0,5182.38720703125,,,,,,
,21,,,,832444224.0,416227296.0,5182.40966796875,,,,,,
,22,,,,802866880.0,401438624.0,5182.45849609375,,,,,,
,23,,,,794031808.0,397021088.0,5182.4013671875,,,,,,
,24,,,,705119168.0,352564768.0,5182.36669921875,,,,,,
,25,,,,761375616.0,380692992.0,5182.39453125,,,,,,
,26,,,,813797120.0,406903744.0,5182.3701171875,,,,,,
,27,,,,880999552.0,440504960.0,5182.41650390625,,,,,,
,28,,,,752681216.0,376345792.0,5182.42822265625,,,,,,
,29,,,,732572608.0,366291488.0,5182.45947265625,,,,,,
,30,,,,808804032.0,404407200.0,5182.3935546875,,,,,,
,31,,,,827429504.0,413719936.0,5182.39794921875,,,,,,
,32,,,,783922560.0,391966464.0,5182.36279296875,,,,,,
,33,,,,859216704.0,429613536.0,5182.3857421875,,,,,,
,34,,,,768439104.0,384224736.0,5182.40869140625,,,,,,
,35,,,,855419392.0,427714880.0,5182.3876953125,,,,,,
,36,,,,814025984.0,407018176.0,5182.3994140625,,,,,,
,37,,,,817949760.0,408980064.0,5182.40673828125,,,,,,
,38,,,,853254912.0,426632640.0,5182.40576171875,,,,,,
,39,,,,950096704.0,475053536.0,5182.4150390625,,,,,,
,159,,,1,,,,812431936.0,5182.40380859375,406221120.0,,,
,159,,,1,,,,,,,417128192.0,4898.11181640625,834246464.0
910720256.0,199,4844.8046875,455364960.0,2,,,,,,,,,
,40,,,,833782848.0,416896544.0,5109.25732421875,,,,,,
,41,,,,832036096.0,416023168.0,5109.27880859375,,,,,,
,42,,,,802468672.0,401239456.0,5109.326171875,,,,,,
,43,,,,793636608.0,396823424.0,5109.27099609375,,,,,,
,44,,,,704741568.0,352375904.0,5109.23681640625,,,,,,
,45,,,,760986688.0,380498464.0,5109.26416015625,,,,,,
,46,,,,813386688.0,406698464.0,5109.23974609375,,,,,,
,47,,,,880578752.0,440294496.0,5109.28662109375,,,,,,
,48,,,,752299264.0,376154752.0,5109.2978515625,,,,,,
,49,,,,732208384.0,366109312.0,5109.32861328125,,,,,,
,50,,,,808409664.0,404209952.0,5109.263671875,,,,,,
,51,,,,827020992.0,413515616.0,5109.2685546875,,,,,,
,52,,,,783536640.0,391773440.0,5109.23193359375,,,,,,
,53,,,,858803264.0,429406752.0,5109.2548828125,,,,,,
,54,,,,768059008.0,384034624.0,5109.27880859375,,,,,,
,55,,,,855007744.0,427508992.0,5109.25732421875,,,,,,
,56,,,,813622528.0,406816384.0,5109.26953125,,,,,,
,57,,,,817546432.0,408778336.0,5109.27587890625,,,,,,
,58,,,,852840384.0,426425312.0,5109.275390625,,,,,,
,59,,,,949647360.0,474828800.0,5109.28466796875,,,,,,
,239,,,2,,,,812030976.0,5109.2724609375,406020576.0,,,
,239,,,2,,,,,,,416977120.0,4846.52685546875,833944832.0
